catsid	catpid	catcost	catqnt	catdate	catchk
1081	991	36.1	300	2014-12-20	1
1081	992	42.3	400	2014-12-20	1
1081	993	15.3	200	2014-03-03	0
1081	994	20.5	100	2014-03-03	0
1081	995	20.5	\N	\N	0
1081	996	124.23	\N	\N	0
1081	997	124.23	\N	\N	0
1081	998	11.7	400	2014-09-10	1
1081	999	75.2	\N	\N	0
1082	991	16.5	200	2014-09-10	1
1082	997	0.55	100	2014-09-10	1
1082	998	7.95	200	2014-03-03	0
1083	998	12.5	\N	\N	0
1083	999	1	\N	\N	0
1084	994	57.3	100	2014-12-20	1
1084	995	22.2	\N	\N	0
1084	998	48.6	200	2014-12-20	1
